event_id,title,timeframe,customer,address,besetzt,gesamt,anfragen,offen
35733,Bankett,Di 10.02. - 11.02. 07:00h - 02:00h,Conference Center & Hotel Munich Unterschleißheim GmbH,"Andreas-Danzer-Weg 1-3, 85716 Unterschleißheim",14,14,20,0
36322,Bankett,Di 10.02. - 11.02. 17:00h - 01:30h,Rocco Forte & Family (Munich) GmbH,"Sophienstr. 28, 80333 München",3,3,4,0
35734,Bankett,Mi 11.02. - 12.02. 07:00h - 04:00h,Conference Center & Hotel Munich Unterschleißheim GmbH,"Andreas-Danzer-Weg 1-3, 85716 Unterschleißheim",23,24,21,1
36323,Bankett,Mi 11.02. - 12.02. 07:30h - 07:00h,Rocco Forte & Family (Munich) GmbH,"Sophienstr. 28, 80333 München",6,6,4,0
36353,Veranstaltung,Mi 11.02. 07:30h - 15:00h,Käfer Autowelt GmbH,"BMW Welt, Am Olympiapark 1, 80809 München",3,3,0,0
34918,Sonderveranstaltung,Mi 11.02. 09:00h - 21:00h,Paulaner Brauerei Gruppe Sales & Marketing GmbH,Messe Stuttgart,18,18,4,0
36024,Bürojob,Mi 11.02. 09:00h - 18:00h,GREATSTAFF,"Werinherstr. 43, 81541 München",0,1,0,1
36159,Festival,Mi 11.02. 10:00h - 20:00h,Sonnenrot GmbH,"Pineapple Park, Paketposthalle, 80634 München",2,2,1,0
36347,Veranstaltung,Mi 11.02. 10:00h - 15:00h,Philisterverband des AGV Akademischer Gesangsverein München e.V.,"Scholastika Haus, Ledererstr. 5, 80331 München",2,2,2,0
35929,DO&CO Allianz Arena / VIP,Mi 11.02. - 12.02. 13:30h - 04:00h,DO & CO Service GmbH,"Franz-Beckenbauer-Platz 5, 80939 München",17,17,13,0
36002,Sonderveranstaltung,Do 12.02. 06:00h - 16:00h,Do & Co Gastronomie GmbH,"Olympiapark München, Spiridon-Louis-Ring 21, 80809 München",18,18,13,0
36275,Event,Do 12.02. 07:00h - 14:00h,Conference Center & Hotel Munich Unterschleißheim GmbH,Andreas-Danzer-Weg 1-385716 Unterschleißheim,2,2,3,0
36286,Veranstaltung,Do 12.02. 07:30h - 13:30h,Shows & Artists GmbH,"Roche Diagnostics, Nonnenweg 2, 82377 Penzberg",4,4,7,0
36324,Bankett,Do 12.02. - 13.02. 07:30h - 02:30h,Rocco Forte & Family (Munich) GmbH,"Sophienstr. 28, 80333 München",7,7,4,0
36025,Bürojob,Do 12.02. 09:00h - 18:00h,GREATSTAFF,"Werinherstr. 43, 81541 München",1,1,0,0
36160,Festival,Do 12.02. 10:00h - 20:00h,Sonnenrot GmbH,"Pineapple Park, Paketposthalle, 80634 München",2,2,0,0
36141,Veranstaltung,Do 12.02. 14:45h - 21:00h,Philisterverband des AGV Akademischer Gesangsverein München e.V.,"Scholastika Haus, Ledererstr. 5, 80331 München",5,5,10,0
36325,Bankett,Fr 13.02. - 14.02. 07:00h - 00:00h,Rocco Forte & Family (Munich) GmbH,"Sophienstr. 28, 80333 München",7,7,8,0
35514,Veranstaltung,Fr 13.02. 09:00h - 19:00h,Philisterverband des AGV Akademischer Gesangsverein München e.V.,"Scholastika Haus, Ledererstr. 5, 80331 München",4,4,10,0
36026,Bürojob,Fr 13.02. 09:00h - 18:00h,GREATSTAFF,"Werinherstr. 43, 81541 München",1,1,0,0
36161,Festival,Fr 13.02. 10:00h - 20:00h,Sonnenrot GmbH,"Pineapple Park, Paketposthalle, 80634 München",2,2,2,0
36349,Bankett,Fr 13.02. 10:30h - 14:30h,selected catering GmbH,"Werner-von-Siemens-Str. 1, 80333 München",4,4,2,0
36003,Veranstaltung,Fr 13.02. 11:00h - 18:30h,Paulaner Distribuzione S.r.l.,"Rimini, Italien",6,6,3,0
36301,Veranstaltung,Fr 13.02. - 14.02. 11:00h - 01:00h,Restaurant Einstein,"Restaurant Einstein, Sankt-Jakobs-Platz 18, 80331 München",11,11,5,0
36355,Empfang,Fr 13.02. - 14.02. 15:00h - 00:00h,DAPP AG,"Charles Hotel, Sophienstr. 28, 80333 München",2,2,0,0
